user_id,feature,efficiency,consumables,comparison,time
"1001","智能避障","高效","滤网耗材剩余80%","超越90%用户","2025-12"
"1002","低噪音","一般","滤网耗材剩余60%","超越70%用户","2025-12"
"1003","强力清扫","高效","滤网耗材剩余90%","超越95%用户","2025-12"
"1004","自动回充","高效","滤网耗材剩余75%","超越85%用户","2025-12"
"1005","扫拖一体","一般","滤网耗材剩余50%","超越60%用户","2025-12"
"1006","智能规划","高效","滤网耗材剩余85%","超越90%用户","2025-12"
"1007","大吸力","高效","滤网耗材剩余95%","超越98%用户","2025-12"
"1008","静音模式","一般","滤网耗材剩余70%","超越75%用户","2025-12"
"1009","自动倒垃圾","高效","滤网耗材剩余80%","超越88%用户","2025-12"
"1010","智能分区","高效","滤网耗材剩余88%","超越92%用户","2025-12"
